model,corruption,severity_label,severity_value,platform_count,total_samples,macro_accuracy,micro_accuracy,macro_bacc,micro_bacc,macro_real_accuracy,micro_real_accuracy,macro_fake_accuracy,micro_fake_accuracy,macro_f1_score,micro_f1_score
classification_only,shot_noise,peak_250,250.0,3,2241,0.9455675640010557,0.9585006693440429,0.947511933413558,0.9602409243720316,0.9878611111111111,0.9895635673624289,0.9071627557160048,0.9309182813816343,0.9461022023412792,0.9596178897090751
classification_only,shot_noise,peak_100,100.0,3,2241,0.9213580430192664,0.9384203480589023,0.9255833834737265,0.9412855747511386,0.9894999999999999,0.9895635673624289,0.8616667669474528,0.8930075821398483,0.920749137019552,0.9388839681133747
classification_only,shot_noise,peak_25,25.0,3,2241,0.8683970374769068,0.8991521642124052,0.8777545627757721,0.9042173354925034,0.9894999999999999,0.9895635673624289,0.7660091255515443,0.818871103622578,0.8603129058866582,0.895852534562212
classification_only,jpeg,quality_95,95.0,3,2241,0.9696235154394298,0.9759036144578314,0.9702518384810803,0.9765094341130751,0.9797407407407407,0.9867172675521821,0.96076293622142,0.966301600673968,0.9721403982667954,0.9770017035775128
classification_only,jpeg,quality_80,80.0,3,2241,0.9556231195566113,0.9589468987059349,0.9575674889691136,0.960662154363607,0.9878611111111111,0.9895635673624289,0.9272738668271159,0.9317607413647851,0.9578235959760208,0.9600694444444444
classification_only,jpeg,quality_60,60.0,3,2241,0.9240248086566377,0.9344042838018741,0.9286157908811338,0.9376008114472247,0.9906203703703703,0.99146110056926,0.8666112113918972,0.8837405223251895,0.9244238228404432,0.9345211581291759
dino_detect,gaussian,strength_0.05,0.05,3,2241,0.9749436526788071,0.9785809906291834,0.9742414092793155,0.9786647408916008,0.9749907407407408,0.9800759013282733,0.9734920778178902,0.9772535804549284,0.9763690467300976,0.9797297297297297
dino_detect,gaussian,strength_0.10,0.1,3,2241,0.9751658749010294,0.9790272199910754,0.9744636315015377,0.979192277503441,0.9758796296296296,0.9819734345351043,0.9730476333734458,0.9764111204717776,0.9765797746308298,0.9801268498942918
dino_detect,gaussian,strength_0.15,0.15,3,2241,0.9696935537081024,0.9741186970102633,0.9680699458483755,0.9738677545643906,0.9598055555555556,0.969639468690702,0.9763343361411954,0.9780960404380792,0.971578571874118,0.9756302521008403
dino_detect,defocus,strength_0.05,0.05,3,2241,0.9627630971232515,0.965640339134315,0.9615051310335607,0.9648013185218105,0.9462314814814814,0.9506641366223909,0.9767787805856397,0.97893850042123,0.9648564862799538,0.967930029154519
dino_detect,defocus,strength_0.10,0.1,3,2241,0.9354704407495381,0.9370816599732262,0.9305560569594865,0.9345470938327773,0.8803055555555556,0.8918406072106262,0.9808065583634176,0.9772535804549284,0.9417182031745193,0.9427062169849655
dino_detect,defocus,strength_0.15,0.15,3,2241,0.8988865135919767,0.8902275769745649,0.8934454472523065,0.8853746868750489,0.8169722222222222,0.8036053130929791,0.9699186722823908,0.9671440606571188,0.9104601131826563,0.9032258064516129
dino_detect,box,strength_0.05,0.05,3,2241,0.9546100224333598,0.9526996876394467,0.9516994083433614,0.9509378961520201,0.9233333333333333,0.9212523719165086,0.9800654833533895,0.9806234203875316,0.9578061996856215,0.9564502875924404
dino_detect,box,strength_0.10,0.1,3,2241,0.9067058590657165,0.9004908522980812,0.8997877055756117,0.8957539697130041,0.8220555555555555,0.8159392789373814,0.9775198555956678,0.9755686604886268,0.9175896290033617,0.912170145726664
dino_detect,box,strength_0.15,0.15,3,2241,0.8501903866455529,0.8299866131191432,0.8385334102152694,0.8211734812141016,0.702537037037037,0.6726755218216319,0.9745297833935017,0.9696714406065712,0.8744591556336134,0.857994781960492
dino_detect,radial,strength_0.05,0.05,3,2241,0.9673879981525468,0.9727800089245873,0.9663201129830191,0.9726040645896644,0.9616759259259259,0.969639468690702,0.9709643000401122,0.9755686604886268,0.9691688313616375,0.9743374000841397
dino_detect,radial,strength_0.10,0.1,3,2241,0.954456947743468,0.9558232931726908,0.9521165764139591,0.9546306524349012,0.9295555555555556,0.9345351043643264,0.9746775972723626,0.974726200505476,0.9579697689109388,0.9589722337339411
dino_detect,radial,strength_0.15,0.15,3,2241,0.9357483174980206,0.9348505131637662,0.9328667435486028,0.9328661703559593,0.8962592592592592,0.8994307400379506,0.9694742278379462,0.966301600673968,0.9411358934853596,0.9401639344262295
dino_detect,gaussian_noise,sigma_0.02,0.02,3,2241,0.9698460345737662,0.9745649263721553,0.9704598375451262,0.9750862842079517,0.9802777777777778,0.9838709677419355,0.9606418973124748,0.966301600673968,0.9717756573890316,0.9757549978732454
dino_detect,gaussian_noise,sigma_0.05,0.05,3,2241,0.9384422670889417,0.9509147701918786,0.9409568792619334,0.952973707894985,0.9853333333333333,0.9876660341555977,0.8965804251905335,0.9182813816343723,0.9390954897009722,0.9519650655021834
dino_detect,gaussian_noise,sigma_0.10,0.1,3,2241,0.9016071522829243,0.9205711735832218,0.9075432210188529,0.924223761847593,0.9877222222222222,0.9857685009487666,0.8273642198154834,0.8626790227464195,0.899307455829195,0.9200359389038635
dino_detect,shot_noise,peak_250,250.0,3,2241,0.9589708366323567,0.9665327978580991,0.9599648014440433,0.9675041443595945,0.9835555555555556,0.9838709677419355,0.936374047332531,0.9511373209772536,0.9603076128344964,0.9678525503643378
dino_detect,shot_noise,peak_100,100.0,3,2241,0.9400811559778305,0.9509147701918786,0.9425957681508224,0.9527610946544556,0.9851944444444444,0.9838709677419355,0.8999970918572001,0.9216512215669755,0.9409806723489353,0.9521322889469104
dino_detect,shot_noise,peak_25,25.0,3,2241,0.8899125098970705,0.9125390450691655,0.8962287404733252,0.9163758554485739,0.9838611111111111,0.9810246679316889,0.8085963698355395,0.8517270429654591,0.8849992183325517,0.9116321009918846
dino_detect,jpeg,quality_95,95.0,3,2241,0.9772215294272896,0.9803659080767515,0.9768849277978339,0.9805622740984319,0.9786388888888888,0.9838709677419355,0.975130966706779,0.9772535804549284,0.9784775800242547,0.9813874788494078
dino_detect,jpeg,quality_80,80.0,3,2241,0.9650819477434679,0.965640339134315,0.9660759125551545,0.9668211443068409,0.9865277777777778,0.9867172675521821,0.9456240473325311,0.9469250210614996,0.9669772673483777,0.9668817204301076
dino_detect,jpeg,quality_60,60.0,3,2241,0.9387196489839008,0.9428826416778224,0.9419945848375452,0.945285261426363,0.9860833333333333,0.9857685009487666,0.8979058363417569,0.9048020219039595,0.9408330086698147,0.9437609841827768
